A_Type_CompPad,B_Extd_CompPad,C_Extd_Frame_Btm,D_Extd_SideBeam,E_ThermalResin_Thx,F_dt_Cell,G_MaxT,Time_TR_Adj_1,Time_TR_Adj_2
Aerogel,4.386557377,21.84196721,32.3556102,2.874863388,16.35701275,1344.7347,2218,2500
Aerogel,2.126284153,24.59491803,40.87735883,5.643879781,6.535519126,1460.035246,1841,1928
PU,4.793551913,13.88899818,34.81380692,2.119016393,19.24225865,1336.537978,1008,2252
PU,5.120601093,19.17641166,23.17834244,2.933005464,8.3715847,1294.461475,930,1234
Aerogel,5.033387978,17.12262295,39.34781421,3.296393443,4.058287796,1413.04071,1290,1655
Aerogel,3.899617486,12.92765027,33.2296357,3.252786885,7.817850638,1392.275683,1159,1509
Aerogel,3.470819672,14.10748634,46.88628415,2.446065574,19.12568306,1534.898634,1352,2360
PU,2.467868852,24.5512204,29.29652095,2.540546448,8.138433516,1354.024317,750,1078
PU,3.318196721,26.21173042,40.82273224,3.33273224,11.86885246,1466.592623,1177,1557
Si,2.976612022,20.09406193,42.40690346,3.274590164,11.2276867,1550.19918,1770,2123
PU,3.34,31.67393443,20.06462659,3.020218579,19.47540984,1300.472404,2667,2334
Aerogel,2.84579235,25.11928962,48.85284153,3.885081967,6.04007286,1429.434153,1667,1874
Aerogel,3.034754098,15.89908925,32.19173042,4.095846995,15.39526412,1423.969672,1687,2214
Aerogel,4.393825137,26.56131148,33.77590164,2.111748634,8.517304189,1404.297541,1474,1699
Aerogel,2.635027322,30.2756102,40.16721312,2.01,12.51001822,1323.423224,2089,2068
Si,4.822622951,24.50752277,24.32550091,3.427213115,13.23861567,1373.696448,2662,2940
Aerogel,3.245519126,13.36462659,21.43029144,4.183060109,13.82149363,1550.19918,1163,1900
Aerogel,4.553715847,13.93269581,49.72686703,2.467868852,10.55737705,1497.740164,1187,1701
Aerogel,4.015901639,19.30750455,25.03564663,4.946174863,9.653916211,1361.67459,2009,2220
Aerogel,5.454918033,31.06216758,38.96542805,2.380655738,10.29508197,1407.029781,2116,2222
Aerogel,4.081311475,35.34453552,30.44367942,5.702021858,17.81420765,1569.871312,3553,3450
