A_Cell_D,B_Barrier_Type,C_Barrier_Thx,D_Barrier_Outer_Type,E_Barrier_Outer_Thx,F_ThermalResin_Thx,TP_NoTP,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power
14.75227176,Si1,1.330587296,PU,2.440198501,2.499571875,0,387.3028964,-0.000359657,0.055083913,1153.647217
8.926764261,Si1,0.287865374,PU,2.141233074,1.108963213,1,366.5037754,0.005778513,0.047726237,976.1816547
11.22026667,Si1,1.554717213,PU,2.910707618,1.08992363,0,324.6352937,0.002442211,0.055428389,873.4610466
12.9369532,Si1,1.932013972,PU,1.758421468,1.965142766,0,346.7583298,0.001571369,0.055406097,953.8221638
12.09192417,Si1,0.37613187,PU,1.606745417,2.48360419,1,415.0002259,-0.000293148,0.046024252,1164.340362
9.538944417,Si1,1.348770941,Si1,2.703690826,1.448279765,0,318.5943349,-0.000687971,0.05526882,833.5398197
10.27337852,Si1,0.973973042,Si1,1.385962399,1.501055294,1,365.5352322,0.000247685,0.044830895,967.6513964
8.095980839,Si1,2.422238457,Si1,2.996686283,2.250783316,0,262.5767887,0.00019325,0.055384679,626.5171592
13.82056119,Si1,1.48485941,Si1,2.471032111,1.236515796,0,367.1926264,-0.000336364,0.055331848,1065.381674
8.754637126,Si1,1.170279468,Si1,2.186339369,2.332032376,0,327.0377625,0.000209716,0.055432512,830.9384963
9.590926283,Si1,0.257290413,Si1,2.849357983,1.862492639,1,372.7489209,0.00069187,0.045894027,1021.164318
12.15001599,Si1,1.718240136,Si1,1.797872296,2.075085691,0,346.4423722,0.001473002,0.055147837,947.63023
13.11995364,Si1,0.373010548,Si1,1.833024466,1.594236867,1,427.506944,-0.000318849,0.043682292,1227.329441
13.30722262,Si1,0.314779463,Si1,1.139473486,2.473823173,1,415.4128979,0.000323531,0.053382545,1272.14703
13.03683363,Si1,0.72513385,Si1,2.831019104,1.809821883,0,393.8191991,0.001583854,0.055309064,1131.809884
11.0244234,Si2,0.304599118,PU,1.276279387,0.774940968,1,440.3135537,-0.000266461,0.003996908,1124.571333
9.748586615,Si2,0.572649559,PU,2.77705928,1.879286511,1,369.7329077,0.000234565,0.041517961,972.0107127
8.655779275,Si2,0.260036215,PU,1.708220132,2.054597458,1,369.3736079,-0.001865201,0.049116947,973.8905881
15.81455131,Si2,0.254277737,PU,2.427243064,1.072675257,1,443.9588146,0.000386214,0.043642154,1463.121877
15.34963564,Si2,2.003330789,PU,2.583689628,2.318040757,0,366.8386497,0.000374591,0.055095143,1092.722501
14.34332908,Si2,0.490845892,PU,1.143211399,2.420508113,1,443.8077548,0.000349433,0.043679156,1319.828257
11.64163837,Si2,1.773546878,PU,2.245890145,1.551510056,0,330.6182631,-0.001409455,0.055375313,889.4222944
13.35650291,Si2,0.828912908,PU,1.501871034,1.160284803,1,404.5880527,0.018511467,0.036048646,1235.824891
10.2116192,Si2,1.012128031,PU,1.557606798,2.311484935,1,358.5545276,0.000246141,0.040120902,960.3121176
11.75869325,Si2,0.298438762,PU,2.998956581,2.44001307,1,400.4042874,0.008259702,0.03731107,1111.485204
9.138295103,Si2,1.669358447,Si2,2.990418766,2.423722522,0,306.5527153,-0.001973768,0.055382745,772.0484097
9.246117339,Si2,0.361006836,Si2,1.298058883,0.736785741,1,418.5883567,0.000222003,0.003774051,999.5509793
14.16627696,Si2,1.465677558,Si2,2.952419618,2.386349787,0,375.0443167,0.002415049,0.05535056,1089.156095
12.32821413,Si2,1.778361247,Si2,2.267739574,0.789856393,0,336.5987596,-0.001495277,0.055263092,930.6179445
15.2436584,Si2,0.555878138,Si2,1.768984476,1.828789635,1,442.5459764,-0.000371942,0.043517156,1432.444678
13.21918765,Si2,0.430191822,Si2,2.74830114,1.224349687,1,411.4140164,-0.00032133,0.038880894,1209.283589
10.60982016,Si2,0.273127681,Si2,2.869401634,2.182236963,1,389.6578046,0.000256096,0.040206994,1068.278398
10.6600977,Si2,0.472286762,Si2,2.075385461,2.219935169,1,389.5775571,0.004889698,0.037830818,1056.31247
11.51949112,Si2,2.070768931,Si2,2.204851272,2.135715952,0,321.3693716,-0.001394186,0.05535489,847.8226374
8.484104513,Si2,2.239274545,Si2,2.801671295,0.631867836,0,265.2624785,0.000202953,0.05535154,670.0841487
11.83716332,Si3,1.424746312,PU,2.668224334,2.078645547,0,356.3409416,-0.001433895,0.055280791,982.2911008
13.95889953,Si3,1.05624275,PU,2.162068925,1.515823215,0,402.1189241,0.002378758,0.055275623,1208.629709
10.07453349,Si3,0.695796592,PU,1.574776949,2.456949375,1,378.441463,0.001698993,0.042960245,1012.050041
15.67589493,Si3,1.250810094,PU,2.772691804,2.486952382,0,406.6630626,-0.000382747,0.055307802,1259.917576
12.81380849,Si3,0.353741239,PU,2.381566852,1.0396576,1,417.6641307,-0.002178366,0.047612866,1204.639529
