TP_NoTP,actual_label,oof_predicted_label,oof_is_error,oof_p_tp,oof_p_notp,is_boundary_band,ptp_distance_from_boundary,local_nn_dist,coverage_cell_key,A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,discrete_combo_id,Eval#,MaxT_TB,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power,CellD_x_Resin,Barrier_x_Outer,oof_tmax_pred
1,1,1,False,0.9998931324427076,0.00010686755729238939,False,0.4998931324427076,0.16607452044128682,3_0_3_2,19.53632204,0.503631177,2.720565066,1.987705996,Si1,Si1,combo_002,28,313.9197,595.1368,-0.00239629,0.02252513,1465.215,,,38.83246445869496,1.3701613862946627,381.6452436139867
0,0,0,False,0.0005676835614849551,0.999432316438515,False,0.49943231643851504,0.33753718228823854,2_3_2_3,17.55485664,1.927287788,2.30289886,2.358034251,Si1,Si1,combo_002,29,245.9010886,240.4765848,-0.004726937,0.05198329,1081.920726,,,41.39495322851477,4.438348849877121,249.28724255880007
0,0,0,False,4.581156645144802e-06,0.9999954188433549,False,0.49999541884335486,0.17977079847876518,2_1_2_0,16.19381065,1.081047911,2.123741577,0.946872721,Si1,Si1,combo_002,30,268.5126,273.3244,-0.004352648,0.05231589,1218.421,,,15.333477553524277,2.295866395319696,274.1265233429892
1,1,1,False,0.9999686425593382,3.135744066184998e-05,False,0.49996864255933815,0.23047153053246275,3_0_2_3,19.3339357,0.379760203,2.244487163,2.233841509,Si1,PU,combo_001,31,319.7139,577.3182,-0.003319389,0.03366809,1515.628,,,43.188948098996974,0.8523669006517741,377.57704728958583
1,1,1,False,0.9999930716494418,6.928350558155216e-06,False,0.49999307164944184,0.17547362851257034,1_0_1_1,15.76814452,0.58992529,1.849159101,1.375890969,Si1,PU,combo_001,32,309.6729,708.7055,-0.002695375,0.02425838,1397.745,,,21.69524764295484,1.0908657189135644,325.3793938297534
1,1,1,False,0.9999808493545288,1.9150645471199823e-05,False,0.4999808493545288,0.17547362851257034,1_0_1_1,15.0600743,0.371841214,1.722946044,1.266081887,Si1,PU,combo_001,33,312.7722,652.7956,-0.005510278,0.03122491,1450.865,,,19.067287288104204,0.6406623486574573,349.1308226509237
1,1,1,False,0.9999873279806479,1.2672019352066854e-05,False,0.49998732798064793,0.10090413559730925,3_0_0_3,19.17589525,0.48143976,1.383919543,2.311352583,Si1,PU,combo_001,34,321.7915,542.9315,-0.002351237,0.03620906,1515.397,,,44.322255017424936,0.6662738926412297,375.1887488393265
0,0,0,False,5.539939991194842e-05,0.999944600600088,False,0.49994460060008805,0.27436844305657476,3_2_2_0,18.44334666,1.539945902,2.449101948,0.767896213,Si1,PU,combo_001,35,256.4960456,251.72138,-0.007682874,0.051960224,1174.276157,,,14.162576055260198,3.771484508402817,256.99974184553275
0,0,0,False,0.0001750796490114226,0.9998249203509886,False,0.4998249203509886,0.28610651603858034,1_3_3_3,15.58433078,1.604103507,2.555810992,2.433815596,Si1,PU,combo_001,36,256.2285651,252.9201709,-0.006467791,0.052071162,1116.162572,,,37.92938730558684,4.099785375496349,257.29398560032763
1,1,1,False,0.9742781982653241,0.025721801734675864,False,0.47427819826532414,0.19391274156231067,0_1_0_3,13.41038755,0.970650147,1.343472983,2.468896015,Si1,PU,combo_001,37,298.0658904,891.7861117,-0.006196085,0.042720377,1274.694509,,,33.10885238180061,1.3040422484394785,296.10831628426234
0,0,0,False,0.2294717723497115,0.7705282276502885,False,0.2705282276502885,0.051156397347978895,3_2_3_3,18.38118458,1.274950167,2.998720407,2.499282949,Si1,PU,combo_001,38,307.4379503,320.9531954,-0.00045,0.051871632,1228.938748,,,45.93978120321572,3.823219083690958,311.3310703809976
1,1,1,False,0.9997250549113232,0.00027494508867675904,False,0.49972505491132324,0.11401412060036484,0_0_3_3,13.9146868,0.396790621,2.898239833,2.462401239,Si1,PU,combo_001,39,312.1656982,639.5998436,-0.00372589,0.032178139,1387.629709,,,34.263542016616945,1.1499943831430062,329.1214552752718
0,0,0,False,0.0016990517940485006,0.9983009482059515,False,0.4983009482059515,0.0962162301684831,1_1_3_1,15.68552034,0.936078738,2.706971256,1.215077596,Si1,PU,combo_001,40,280.7776552,295.0692776,-0.006510796,0.052243185,1262.806178,,,19.0591243467363,2.533938237118755,290.8574023740814
1,1,1,False,0.9999979439292019,2.0560707980621373e-06,False,0.49999794392920194,0.1745002473957412,3_0_2_1,18.16369254,0.496766543,2.520782895,1.402209772,Si1,PU,combo_001,41,314.119188,917.6657859,-0.002224711,0.032480784,1453.797808,,,25.4693071751915,1.252240604402682,351.37719180113777
