TP_NoTP,actual_label,oof_predicted_label,oof_is_error,oof_p_tp,oof_p_notp,is_boundary_band,ptp_distance_from_boundary,local_nn_dist,coverage_cell_key,A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,discrete_combo_id,Eval#,MaxT_TB,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power,CellD_x_Resin,Barrier_x_Outer,oof_tmax_pred
0,0,1,True,0.8182139390262364,0.1817860609737636,False,0.3182139390262364,0.20063982217416762,1_1_3_3,11.36023026,0.804573168,2.696792864,2.427393311,Si1,Si1,combo_002,19,363.4811236,275.4902538,0.002473702,0.055235575,991.1984365,218.3,85.2,27.575746944543788,2.1697671780282732,360.4041199151621
1,1,1,False,0.7758271767518181,0.22417282324818188,False,0.2758271767518181,0.24884516354466238,2_0_2_3,12.46854867,0.279169369,2.512849583,2.162371872,Si1,Si1,combo_002,20,412.1965819,963.7850132,0.000302564,0.044476866,1180.935827,120.000002,86.0,26.96163892867101,0.7015106324780231,408.93890957445643
1,1,1,False,0.8748555985471285,0.12514440145287153,False,0.37485559854712847,0.1907790446454013,0_0_3_0,9.516843282,0.511020475,2.965552759,0.810370129,Si1,Si1,combo_002,21,352.8513935,881.7362322,-0.002058939,0.041407551,952.3781337,133.000002,77.4,7.712165518107124,1.5154581795417406,347.29716906835114
0,0,0,False,0.3003558648044873,0.6996441351955127,False,0.19964413519551272,0.44086349187576845,2_3_2_1,12.06886098,1.838518193,2.140756139,1.07741545,Si1,Si1,combo_002,22,308.7802899,246.2744773,0.000292572,0.055251723,830.5815253,244.1,92.1,13.003177283754141,3.9358191083279372,307.1854440911887
0,0,0,False,0.18405399165931158,0.8159460083406884,False,0.3159460083406884,0.3141746871249811,1_2_2_3,10.97612691,1.473555925,2.118477931,2.140055928,Si1,Si1,combo_002,23,320.8527345,258.8874782,0.000265253,0.055336338,840.7621571,230.2,86.5,23.489525460225824,3.1216957072067917,325.79017048218174
1,1,1,False,0.7932308791923788,0.20676912080762122,False,0.2932308791923788,0.17665640344283756,1_0_3_2,10.2128586,0.302427275,2.973059061,1.566004794,Si1,Si1,combo_002,24,376.5960678,886.7009316,0.001723201,0.041110641,1034.950978,118.000002,74.3,15.99338552804413,0.8991341502322887,362.55140043692904
0,0,0,False,0.3670219159349699,0.6329780840650301,False,0.1329780840650301,0.28234457963673815,1_3_3_2,10.36947861,1.98370584,2.762071101,1.972406634,Si1,Si1,combo_002,25,277.3261416,240.5543566,0.002250783,0.05525957,706.8485402,243.8,86.0,20.452828401485096,5.479136573548931,277.05949788381844
1,1,1,False,0.7551166601809882,0.24488333981901178,False,0.2551166601809882,0.27862268014909786,0_0_1_3,8.100238313,0.381048237,1.698244372,2.468547189,Si1,Si1,combo_002,26,359.0729499,881.2893665,-0.000193356,0.050079204,925.117964,95.000002,72.3,19.995820517786253,0.6471130239457722,357.74397566405145
0,0,0,False,0.2527191064046974,0.7472808935953026,False,0.2472808935953026,0.46600663986106505,3_2_0_0,15.23452316,1.401693305,1.564260221,0.733200339,Si1,Si1,combo_002,27,380.9317515,262.9237232,0.000371713,0.055256762,1147.654497,239.8,106.2,11.169957545415352,2.1926130790535203,381.3932865304558
0,0,0,False,0.17055319891903764,0.8294468010809624,False,0.32944680108096236,0.3682173695029879,1_1_3_2,10.04578244,1.074699015,2.997125814,1.78645107,Si1,Si1,combo_002,28,323.2594715,270.1470746,0.002177951,0.055337373,853.6696768,212.0,81.1,17.946298788925212,3.221008160136873,324.5485218792341
