Eval#,A_Cell_D,B_Barrier_Type,C_Barrier_Thx,F_ThermalResin_Thx,G_CoolingLPM,TP_NoTP,MaxT_TB_Center,MaxT_TB_Top,MaxT_TB_Btm,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power,
18,13.57871702,ETI,1.458700077,2.341151338,8.341044462,0,141.1393081,130.1428693,136.8776658,208.7169891,-0.165916832,0.111959639,1434.173201,248.2,95.4,
19,15.01433959,ETI,1.001877721,2.961056578,0.08005806,1,113.4390148,95.36726243,112.0453272,865.3543737,-0.208485674,0.089106564,2144.142417,109.900001,78.1,
20,13.46189793,ETI,2.372225363,1.602911916,12.44809564,0,121.3005563,113.0374986,117.3883954,160.5204669,-0.175554706,0.113370289,774.436524,327.4,142.8,
1,13.62144669,ETI,1.488222091,2.99294012,23.77593981,1,130.5979,119.8368,130.3354,502.8607,-0.48683,0.1070716,1369.05,226.4,104.1,Itr_4
2,11.31914506,ETI,1.430062758,2.569697098,29.77820855,0,144.9011342,131.1504038,139.1194154,207.4548855,-0.506184972,0.108950872,1374.462444,262,98,
3,13.09941653,ETI,1.366005802,1.244745178,6.48589907,1,129.5411366,119.2312748,123.051905,730.1009152,-0.170286449,0.111030995,1512.129137,214.200001,88.9,
4,13.35156573,ETI,1.392491059,1.442084813,9.759559382,1,131.7092499,122.3580717,128.7358418,833.0745073,-0.171988418,0.109896338,1496.681289,219.700001,91.1,
5,12.8015835,ETI,1.466620647,2.918468949,29.51581464,1,132.6450489,123.1837247,131.9766367,798.6725409,-0.172473541,0.108899494,1377.661441,240.500001,101.4,
6,14.68820074,ETI,1.518294264,2.164302178,24.20033837,1,131.2252443,121.8200243,130.4238619,734.3696195,-0.173600938,0.112318988,1344.259275,243.400001,107.9,
7,12.48274974,ETI,1.34664172,1.318290714,10.44120154,1,130.2792252,119.7187552,124.5629351,762.845204,-0.170460359,0.111350797,1530.811783,214.700001,87.1,
8,14.19881537,ETI,1.492676082,2.675001282,17.91194254,0,143.6338613,130.8220526,139.7644858,209.503688,-0.491921025,0.111431977,1412.334561,257,99.2,
9,14.4559424,ETI,1.522994257,2.668974146,25.28975844,1,131.475039,121.6396444,130.9334788,699.9280348,-0.174380039,0.110136774,1346.210576,239.300001,107.7,
10,14.19306971,ETI,1.443715358,1.975173022,1.54759711,1,130.4135063,119.6401142,129.2481917,840.165165,-0.177288038,0.107964797,1458.046793,209.600001,95.8,
11,15.72411444,ETI,1.586674112,2.467910993,13.57290287,0,137.6867036,128.8907559,135.4196198,207.2245873,-0.171869491,0.112276811,1323.976638,274,107.2,
12,12.02228399,ETI,1.397607392,2.665652724,0.005394686,1,138.6027119,127.7674459,135.3397464,523.9753341,-0.498537543,0.113315148,1484.407797,261.000001,88.2,
13,13.2647228,ETI,1.455780021,2.945293256,5.929531694,0,138.1159942,128.7234046,135.9555611,208.9536833,-0.50035191,0.109738935,1433.75174,282.6,94.8,
14,14.40198964,ETI,1.497094087,2.532194433,3.23077262,0,141.1302702,130.3143153,137.6672139,208.6633485,-0.492541134,0.111800232,1409.450728,258.1,99.3,
15,14.44536151,ETI,1.489855738,2.80827654,4.685497095,1,131.4627723,121.5155387,130.9776468,767.2720158,-0.17273716,0.11011892,1420.106781,231.300001,99.3,
16,12.56332502,ETI,1.454187907,2.904598259,17.07325554,0,145.2554852,130.8249411,139.5848759,206.3858128,-0.501774883,0.108467652,1433.61586,279.9,92.9,
17,13.28347837,ETI,1.404551965,2.198166028,22.23090036,1,127.9652716,114.6742698,126.2736006,603.9095796,-0.482837714,0.10331419,1450.836917,186.500001,98.6,
18,15.75223036,ETI,1.003655505,2.999163795,19.75110031,1,114.4275338,96.9751068,113.1589615,710.6578499,-0.431222134,0.089244918,2163.583904,112.200001,80.3,
19,15.99294895,ETI,1.007273104,2.895145265,21.02199615,1,113.5017311,96.33375719,112.9110656,546.7932224,-0.438661966,0.091243422,2086.727992,116.800001,86.3,
20,12.06772589,ETI,2.594255608,2.761523417,23.60714276,0,120.2673593,111.0608408,118.2945925,151.7348299,-0.488954713,0.111957534,644.3631145,365.3,122.7,
21,13.97097764,ETI,1.530665482,2.968685433,20.47769669,1,130.468334,119.7720032,130.1744133,662.6076802,-0.17124182,0.1093184,1366.136638,235.900001,100.4,
1,14.47415366,ETI,1.485697324,2.096950322,15.45207258,0,141.2379263,130.3725729,136.4472706,209.2412978,-0.168888034,0.113694541,1414.992903,255.2,98.8,Itr_5
2,14.25844871,ETI,1.475580417,1.928378503,18.09575297,0,142.1457646,130.6739932,136.3254997,208.5736532,-0.169618558,0.11327662,1425.10144,250.9,98.3,
3,10.21660288,ETI,1.353374247,2.481245715,17.22682907,0,148.0020331,131.4137565,141.2014903,206.5465725,-0.585577935,0.102982888,1493.02997,263.8,82.8,
4,14.45493792,ETI,1.481608125,2.213366814,14.37338727,0,141.2068067,130.3463922,136.859719,209.1988662,-0.169107749,0.111896204,1424.236225,252.4,98.2,
5,13.59904566,ETI,1.439120501,2.144124161,16.08976687,0,141.5120608,130.4069544,136.4689964,209.4360071,-0.167318121,0.111999027,1454.595522,246.2,94.2,
6,14.82369728,ETI,1.510814526,2.509687828,12.38462769,1,132.3835548,123.7393366,131.6253746,585.038503,-0.172118906,0.114371794,1395.254323,253.700002,101.2,
7,13.42318831,ETI,1.469381024,1.759137435,27.0346193,0,140.6363256,130.4704215,134.7244288,208.4213408,-0.169483369,0.113290451,1370.669374,257.9,102.5,
8,12.22568338,ETI,1.378334743,1.653730782,4.197476202,0,141.6936214,130.3662897,134.3730293,207.5334749,-0.50740397,0.11230305,1495.817398,236.6,87.6,
9,12.04343753,ETI,1.440913691,2.351676031,29.64020659,0,143.4277691,130.7030476,137.4243402,208.3554332,-0.5017624,0.11044472,1383.200797,261.1,98.9,
10,12.07148759,ETI,1.409119735,2.160626475,24.90676261,1,132.7922682,122.9637784,130.7834156,794.0116791,-0.490468894,0.109039387,1416.982663,228.000002,96.7,
11,13.91876458,ETI,1.457403699,2.588849267,9.62428321,1,130.5641157,120.0287056,130.112432,765.3812903,-0.171852059,0.109230291,1441.260649,227.800002,95.8,
12,14.43627239,ETI,1.483941269,2.562269819,7.901570569,1,131.2037008,121.0825472,130.6281358,591.5550231,-0.174597638,0.108344797,1424.223448,228.000002,98.9,
13,12.54950075,ETI,1.423234972,2.930050692,11.69084913,0,146.788241,131.458917,141.4098173,209.4337448,-0.50310342,0.108442596,1468.908409,275.9,91.1,
15,15.78021972,ETI,1.573603047,2.983613296,2.754672428,1,131.6257913,122.5731066,131.4594509,554.790985,-0.489209144,0.110444719,1348.307165,249.100002,107.1,
17,12.75338744,ETI,1.440630607,2.872907241,15.91701472,0,143.7984119,130.6066319,140.1100842,208.6295434,-0.502899206,0.108812139,1449.056391,279.4,92.4,
18,11.40182271,ETI,1.392807406,2.501640486,28.79250859,1,132.9935251,122.4804224,131.4346757,538.4097903,-0.492338606,0.107741901,1420.31749,225.000002,95.8,
19,14.40545799,ETI,1.003040316,2.968442002,16.52732634,1,115.6800471,98.02133239,113.5921826,703.2600404,-0.460992471,0.090747331,2158.517435,108.000002,76.3,
