TP_NoTP,actual_label,oof_predicted_label,oof_is_error,oof_p_tp,oof_p_notp,is_boundary_band,ptp_distance_from_boundary,local_nn_dist,coverage_cell_key,A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,discrete_combo_id,Eval#,MaxT_TB,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power,Unnamed: 15,CellD_x_Resin,Barrier_x_Outer,oof_tmax_pred
1,1,0,True,0.2817282287965668,0.7182717712034332,False,0.21827177120343322,0.17370345419333824,2_1_0_1,12.64066419,0.950744049,1.292510009,1.313394875,Si1,Si1,combo_002,7,382.8636023,576.7764259,0.040199525,0.036517125,1061.104273,207.000002,86.0,,16.602183563742027,1.2288461993296864,380.708204801141
1,1,1,False,0.7250534670808975,0.27494653291910254,False,0.22505346708089746,0.2162778526812296,1_1_2_0,10.23611342,0.797871794,2.149150635,0.506317296,Si1,Si1,combo_002,8,343.8282017,949.9467486,0.009129852,0.042688226,938.1135176,164.000002,81.0,,5.1827212683637125,1.7147466727236889,344.8016982400544
1,1,1,False,0.8336902140338225,0.16630978596617751,False,0.3336902140338225,0.08843072925470084,3_0_3_3,15.25309902,0.676534658,2.822763552,2.339977674,Si1,PU,combo_001,9,430.6762352,867.6847048,-0.000372178,0.040567348,1341.16133,194.000002,98.3,,35.69191116611128,1.9096973742671852,434.2690543644485
1,1,1,False,0.8032849100089834,0.1967150899910166,False,0.3032849100089834,0.24047072276999373,3_1_2_3,15.69849461,0.752574127,2.366178733,2.462536734,Si1,PU,combo_001,10,433.8267969,508.5117064,0.000383312,0.045614158,1383.279969,200.0,100.7,,38.658119645626,1.780724894313441,428.500229655884
1,1,1,False,0.8237875588924908,0.17621244110750922,False,0.3237875588924908,0.21381151265360124,1_0_3_3,10.29484076,0.652583369,2.75909886,2.113774311,Si1,Si1,combo_002,11,357.9663255,999.5243449,0.009680619,0.040460023,966.8617589,179.000002,80.9,,21.760969934323715,1.8005420294628594,356.67212390365677
0,0,1,True,0.6165108126847656,0.3834891873152344,False,0.1165108126847656,0.17370345419333824,1_1_0_1,11.51866801,1.072443798,1.15773035,1.263005896,Si1,Si1,combo_002,12,364.1421965,284.8933776,0.001394084,0.055352853,971.0141663,195.5,82.8,,14.548145610696587,1.2416007336138692,355.7385922556649
1,1,1,False,0.7616843441560377,0.2383156558439623,False,0.2616843441560377,0.08867695725730054,3_1_3_3,15.71632611,0.697913984,2.819093468,2.472005251,Si1,PU,combo_001,13,434.6892995,576.024233,0.000383758,0.044899715,1373.419958,197.000002,100.4,,38.850840670348404,1.9674847535202566,440.91302419155545
1,1,1,False,0.6288882946053036,0.3711117053946964,False,0.1288882946053036,0.19868790482738324,2_0_3_3,13.87784765,0.674317709,2.932403146,2.091785876,Si1,PU,combo_001,14,414.8927325,585.0978814,-0.001013389,0.042224531,1236.383377,176.000002,93.2,,29.02948570354979,1.9773713712751124,414.65882098136836
0,0,1,True,0.5274091914306496,0.47259080856935043,True,0.02740919143064957,0.17704175640822128,1_1_2_3,11.9527146,0.866932361,2.336186913,2.217118761,Si1,PU,combo_001,15,382.6200259,284.4095359,-0.000289668,0.055268448,1083.390482,206.5,86.4,,26.500587784538613,2.0253160362243916,382.7827346411513
1,1,1,False,0.8848765240627472,0.1151234759372528,False,0.3848765240627472,0.1711755733184085,0_1_3_0,9.945703901,0.728870859,2.56694467,0.677836682,Si1,Si1,combo_002,16,342.2875723,951.7059235,-0.000239493,0.042390173,933.3821129,159.000002,79.6,,6.741562932408296,1.8709711666283715,345.2372581632332
