TP_NoTP,actual_label,oof_predicted_label,oof_is_error,oof_p_tp,oof_p_notp,is_boundary_band,ptp_distance_from_boundary,local_nn_dist,coverage_cell_key,A_Cell_D,C_Barrier_Thx,F_ThermalResin_Thx,G_CoolantLPM,B_Barrier_Type,discrete_combo_id,Eval#,MaxT_TB_Center,MaxT_TB_Top,MaxT_TB_Btm,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power,Unnamed: 16,CellD_x_Resin,oof_tmax_pred,oof_MaxT_TB_Top_pred,oof_MaxT_TB_Btm_pred,oof_MaxT_Adj_Y_pred,oof_MaxT_Adj_Z_pred,oof_Max_Power_pred,oof_Time_MaxT_pred
0,0,0,False,0.00031293253414332867,0.9996870674658567,False,0.49968706746585667,0.22531005403850965,2_1_2_1,13.72884534,1.907814204,2.456844555,14.2893732,ETI,combo_001,19,128.6724909,119.3778603,127.8678703,181.6940242,-0.172401393,0.108909801,1051.900488,284.2,125.2,,33.72963892001612,129.61934082100683,120.67388829170478,128.18461160586347,-0.1366967156041401,0.10767989586526823,1042.2980106813707,289.3035231797885
0,0,0,False,1.7427696263894177e-07,0.9999998257230374,False,0.49999982572303736,0.2634532405792313,3_2_0_0,14.62355254,2.433388417,1.639075702,0.249634484,ETI,combo_001,20,121.9075184,114.2098027,118.9635266,161.6408959,-0.176090241,0.115766197,760.9502481,344.1,152.3,,23.969109645234383,120.60035821082894,113.59757682923929,118.0192504318109,-0.40247831204129175,0.11925122389560525,756.3172596136653,337.46989465533153
0,0,0,False,2.3648324712854073e-14,0.9999999999999764,False,0.49999999999997635,0.2771694947917222,3_2_3_0,14.90207674,2.393566447,2.745801424,0.09430566,ETI,combo_001,21,123.8317953,115.4377292,123.3199038,165.4671566,-0.487421365,0.110889635,791.2097597,348.6,155.2,,40.91814353324928,124.35454742513474,115.37064770147761,123.2134942982541,-0.3261709916530826,0.11605190866962008,796.043414413867,343.54516927057017
0,0,0,False,0.1676487773656845,0.8323512226343155,False,0.3323512226343155,0.056820319638612345,2_0_2_3,13.19847239,1.461120901,2.121686619,22.8475716,ETI,combo_001,22,137.8804519,129.0650826,134.0852659,209.9820432,-0.497874166,0.111222915,1374.842575,264.6,102.4,,28.00302226110395,140.83372883877186,129.91244245341022,136.0223081675392,-0.47244025170955134,0.11197574775492387,1400.6051841689934,254.00569960263442
0,0,0,False,2.7372344842124807e-12,0.9999999999972627,False,0.49999999999726275,0.3338933483146959,2_3_2_1,13.45750184,2.592039563,2.315864586,11.28892172,ETI,combo_001,23,120.228863,111.7351494,118.5145194,154.3928229,-0.177243073,0.113361222,694.0744422,355.9,132.3,,31.16575192728584,120.14604001432058,111.68169532002602,118.37967236682333,-0.3919058464211896,0.11192476089464803,696.0519876829542,361.9775370867769
0,0,0,False,0.04440746456384659,0.9555925354361534,False,0.4555925354361534,0.1700338051746618,1_0_0_0,12.38042866,1.451160741,1.313559748,0.146825804,ETI,combo_001,24,135.3784733,128.0530249,130.3009519,202.167333,-0.503708319,0.112641563,1402.684714,239.4,91.6,,16.26243275076158,137.21302910821532,128.98497758944984,129.90539431644,-0.4603510869710295,0.11338109083641837,1411.7714103412425,237.1642195356219
1,1,1,False,0.997222900390625,0.002777099609375,False,0.497222900390625,0.07700237582830324,3_0_0_2,15.63504525,1.379136971,1.480843839,20.81970087,ETI,combo_001,25,123.319181,109.3668989,119.5363414,623.3387258,-0.191874234,0.102583366,1495.030216,171.200001,102.3,,23.153060430948713,142.4566075817608,131.9104388989738,134.89305295906047,-0.4709374801646611,0.11886821896493945,1521.366807614097,255.98250556611958
0,0,0,False,4.020183439479297e-07,0.999999597981656,False,0.49999959798165605,0.3311377678802834,1_2_0_1,12.21980399,2.281497023,1.2,7.911698289,ETI,combo_001,26,118.4616501,110.9127481,108.5986688,160.607642,-0.492498888,0.113771913,786.6348253,310.9,109.3,,14.663764788,121.78644435025241,112.87504045527635,115.89599349970928,-0.37933811527602884,0.11339988895580405,798.4664045220105,311.8881270943761
0,0,0,False,0.014569861814379692,0.9854301381856203,False,0.4854301381856203,0.08636271714607997,1_1_3_2,12.75712505,1.530503559,2.837921421,22.31093137,ETI,combo_001,27,140.5068798,129.7048365,137.3001293,206.4664956,-0.498304633,0.108818914,1349.898592,268.8,97.0,,36.2037184497707,139.24367820847326,128.83688043666362,136.71885216489449,-0.4994534998822887,0.10814359619547811,1322.3344971698718,275.085480925182
1,1,1,False,0.9979355931282043,0.0020644068717956543,False,0.49793559312820435,0.050606775631678404,1_0_2_3,12.30485762,1.214186604,2.416089212,24.12369221,ETI,combo_001,28,120.0641872,102.2303714,116.0390656,573.838219,-0.216084651,0.093075609,1674.727971,133.300001,86.1,,29.729633750877998,152.31432806219405,134.05929408308097,142.31106968136967,-0.37890511763599,0.11045900753542784,1660.1085744048412,262.7673209782307
