TP_NoTP,actual_label,oof_predicted_label,oof_is_error,oof_p_tp,oof_p_notp,is_boundary_band,ptp_distance_from_boundary,local_nn_dist,coverage_cell_key,A_Cell_D,C_Barrier_Thx,F_ThermalResin_Thx,G_CoolantLPM,B_Barrier_Type,discrete_combo_id,Eval#,MaxT_TB_Center,MaxT_TB_Top,MaxT_TB_Btm,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power,Unnamed: 16,CellD_x_Resin,oof_tmax_pred,oof_MaxT_TB_Top_pred,oof_MaxT_TB_Btm_pred,oof_MaxT_Adj_Y_pred,oof_MaxT_Adj_Z_pred,oof_Max_Power_pred
0.0,0,0,False,0.48301361222982564,0.5169863877701744,True,0.01698638777017436,0.17447015059759202,2_0_2_1,13.35065068,1.430194005,2.296082029,9.077405733,ETI,combo_001,39.0,145.0149576,131.1597196,139.1000703,209.9843995,-0.494992756,0.111517761,1467.622395,246.5,93.3,,30.654189101804626,140.41677258552716,130.7786412745029,136.8703065271101,-0.42934225823529415,0.11128728640643058,1437.3120458582034
0.0,0,0,False,0.042314502436283874,0.9576854975637161,False,0.4576854975637161,0.215526655083249,0_1_2_1,11.4589023,1.551103938,2.025864351,8.376097639,ETI,combo_001,40.0,135.1740172,127.0168559,132.218416,194.1976058,-0.505656481,0.109239106,1301.501165,246.9,99.5,,23.214181671161906,135.34558499019386,126.75674934832351,131.89020218870914,-0.4766846908732551,0.11005690091681898,1281.6648939123193
1.0,1,1,False,0.6431184895906767,0.35688151040932325,False,0.14311848959067675,0.2648409378651535,1_0_3_0,12.09571751,1.328031224,2.548387905,4.06959172,ETI,combo_001,41.0,127.9935738,113.6711892,126.4988497,665.8329814,-0.178496748,0.101755258,1572.552316,174.700001,85.6,,30.824580204780712,144.35642362958095,132.25970331486522,141.51618033834006,-0.4423411494808489,0.10888115655285648,1554.2248437200278
0.0,0,0,False,0.2918297300588506,0.7081702699411494,False,0.2081702699411494,0.31021662593018795,1_3_1_1,11.97173635,2.565646493,1.740496388,12.01757663,ETI,combo_001,42.0,118.7551794,109.9631066,114.8088014,151.6153983,-0.490554284,0.113198274,682.0241471,345.2,141.8,,20.836763875263305,118.6770656876975,109.75054768699201,114.66119955249769,-0.4258402418966677,0.11404710348166003,678.8650443337565
0.0,0,0,False,0.24267885709832626,0.7573211429016737,False,0.25732114290167374,0.3505256713293125,2_2_1_2,13.84883992,2.334902569,1.831013949,16.44410094,ETI,combo_001,43.0,121.5448532,112.9072987,118.6654266,162.8231479,-0.487830693,0.114168358,798.6030825,324.6,143.8,,25.357419070988044,121.88197747297727,114.15684435376679,119.5931720499076,-0.4221853845503531,0.11249833147775003,784.1322834886944
0.0,0,0,False,0.05295013433692475,0.9470498656630753,False,0.44704986566307525,0.23419287838201885,3_1_0_2,14.52152191,1.600683947,1.228783184,18.16845963,ETI,combo_001,44.0,132.1120744,126.575296,127.0278629,197.06383,-0.17011568,0.11378632,1277.338185,249.1,103.5,,17.843801929095562,132.72326677231663,126.86670742522216,129.24218479124215,-0.28127549496861504,0.11398142802689917,1268.0035650561601
0.0,0,0,False,0.03179650749700613,0.9682034925029939,False,0.46820349250299387,0.10862076246930848,1_1_1_0,12.35701602,1.54475398,1.920165113,1.166156237,ETI,combo_001,45.0,134.5168123,126.5414066,131.6639061,197.0939563,-0.501871474,0.109592601,1319.358642,246.8,101.2,,23.72751106238611,136.48509305310452,127.42144292781612,132.60693198897485,-0.38312108479722345,0.11097258822343382,1318.5317905195245
0.0,0,0,False,0.2612249640102391,0.7387750359897609,False,0.2387750359897609,0.25610967743512275,0_3_3_0,11.41183321,2.481094929,2.509214957,4.468702623,ETI,combo_001,46.0,121.0833183,111.3644277,118.917445,154.9185571,-0.492485628,0.110522753,709.3797956,339.5,114.7,,28.634742577321322,121.15001468654418,110.63513515099974,118.66860341190656,-0.42934225823529415,0.10911712445959112,701.7677214888093
0.0,0,0,False,0.1326025633663903,0.8673974366336097,False,0.3673974366336097,0.1650491268331229,1_1_2_0,12.85891605,1.982615911,2.165518116,2.369970241,ETI,combo_001,47.0,127.2226426,117.8163342,125.7453764,176.2665006,-0.493438715,0.10900341,985.987459,289.6,125.6,,27.846215658398158,127.37718274393454,118.47570194441994,126.35237180753612,-0.49697666018849496,0.11020005885526005,982.9779706392078
0.0,0,0,False,0.19887032060159981,0.8011296793984002,False,0.3011296793984002,0.21535727199694105,1_2_2_0,11.91172733,2.197715698,2.27665003,0.03099692,ETI,combo_001,48.0,125.4794822,115.9640749,123.696579,166.4296602,-0.491168612,0.108729852,838.103812,313.3,132.9,,27.11883438319632,123.58851800204357,114.15698574142317,121.84796386764201,-0.4628190806750464,0.11000505856332955,838.1257932496898
